player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,median_receiving_yards,median_receiving_tds,median_receptions,p10_receiving_yards,p10_receiving_tds,p10_receptions,p90_receiving_yards,p90_receiving_tds,p90_receptions
00-0030035,Adam Thielen,877.8,6.2,49.9,462.7,3.8,38.0,43.9,0.3,3.6,1953.5,15.3,108.9
00-0036309,Darnell Mooney,867.2,5.0,42.9,461.8,3.0,32.3,40.6,0.1,2.9,1955.7,12.5,94.6
00-0031588,Stefon Diggs,856.7,5.4,59.3,452.1,3.3,46.2,42.3,0.1,4.3,2003.6,13.7,129.5
00-0036912,DeVonta Smith,851.5,6.5,51.4,449.1,4.1,39.3,42.4,0.3,3.5,1982.1,15.9,112.9
00-0037545,Rashid Shaheed,842.9,6.3,37.9,443.1,3.7,28.0,40.2,0.3,2.7,1881.1,15.3,84.9
00-0034837,Calvin Ridley,842.6,4.7,41.6,458.6,2.8,31.3,43.2,0.1,2.9,1908.1,12.0,92.8
00-0033040,Tyreek Hill,838.7,5.4,50.5,436.6,3.3,38.2,39.0,0.1,3.7,1968.8,13.4,111.7
00-0038997,Josh Downs,816.2,5.3,53.2,437.5,3.2,41.7,41.9,0.2,4.1,1842.3,13.3,115.1
00-0033908,Cooper Kupp,813.9,5.6,53.1,424.8,3.4,41.0,37.5,0.2,3.7,1891.9,13.9,115.5
00-0034827,DJ Moore,811.5,5.2,58.4,422.7,3.1,44.2,38.3,0.1,4.2,1848.2,13.1,127.0
00-0038994,Jordan Addison,788.5,6.6,44.4,424.0,4.0,32.7,36.8,0.3,3.1,1804.8,16.6,100.4
00-0037261,Khalil Shakir,769.9,4.5,53.8,422.9,2.7,41.5,39.6,0.1,4.1,1796.5,11.4,116.9
00-0036261,Brandon Aiyuk,767.7,3.7,39.8,413.2,2.1,29.5,37.6,0.0,2.8,1769.4,9.5,87.5
00-0037664,Alec Pierce,766.1,5.8,28.9,404.2,3.5,20.3,40.0,0.2,2.0,1779.7,14.2,66.7
